frequency,time,amplitude
0,0,0.0010
0,1,0.0008
0,2,0.0012
0,3,0.0015
0,4,0.0008
100,0,0.0025
100,1,0.0035
100,2,0.0055
100,3,0.0075
100,4,0.0035
200,0,0.0030
200,1,0.0080
200,2,0.0060
200,3,0.0090
200,4,0.0070
300,0,0.0050
300,1,0.0040
300,2,0.0070
300,3,0.0060
300,4,0.0030
400,0,0.0015
400,1,0.0025
400,2,0.0085
400,3,0.0065
400,4,0.0025
500,0,0.0045
500,1,0.0035
500,2,0.0095
500,3,0.0085
500,4,0.0045
600,0,0.0010
600,1,0.0020
600,2,0.0030
600,3,0.0015
600,4,0.0005
700,0,0.0020
700,1,0.0060
700,2,0.0080
700,3,0.0060
700,4,0.0040
800,0,0.0005
800,1,0.0015
800,2,0.0035
800,3,0.0025
800,4,0.0010
900,0,0.0002
900,1,0.0005
900,2,0.0010
900,3,0.0008
900,4,0.0003
1000,0,0.0001
1000,1,0.0002
1000,2,0.0003
1000,3,0.0002
1000,4,0.0001
