时间,频率,幅值
0.0,0.0,0.01
0.0,10.0,0.02
0.0,20.0,0.03
0.0,24.5,0.58
0.0,30.0,0.04
0.0,40.0,0.03
0.0,49.0,0.31
0.0,50.0,0.02
0.0,60.0,0.01
0.0,73.5,0.18
0.0,80.0,0.01
0.0,90.0,0.01
0.0,100.0,0.01
0.0,200.0,0.005
0.0,210.5,0.25
0.0,300.0,0.004
0.0,400.0,0.003
0.0,450.8,0.20
0.0,500.0,0.002
0.0,600.0,0.001
0.0,700.0,0.001
0.0,800.0,0.001
0.0,820.0,0.15
0.0,900.0,0.001
0.0,1000.0,0.001
# 以下是不同时间点的频谱数据
5.0,0.0,0.01
5.0,10.0,0.02
5.0,20.0,0.04
5.0,24.5,0.62
5.0,30.0,0.05
5.0,40.0,0.04
# 此处省略部分数据...
10.0,0.0,0.02
10.0,10.0,0.03
10.0,20.0,0.04
10.0,24.5,0.67
# 此处省略部分数据...
15.0,0.0,0.02
15.0,10.0,0.03
15.0,20.0,0.05
15.0,24.5,0.72
# 此处省略更多时间点数据...
