时间,RPM,频率,幅值
0,600,10,0.05
0,600,20,0.08
0,600,30,0.15
0,600,40,0.10
0,600,50,0.25
0,600,60,0.40
0,600,70,0.30
0,600,80,0.20
0,600,90,0.10
1,900,10,0.10
1,900,20,0.15
1,900,30,0.25
1,900,40,0.20
1,900,50,0.35
1,900,60,0.60
1,900,70,0.40
1,900,80,0.25
1,900,90,0.15
2,1200,10,0.15
2,1200,20,0.25
2,1200,30,0.35
2,1200,40,0.30
2,1200,50,0.55
2,1200,60,0.80
2,1200,70,0.60
2,1200,80,0.35
2,1200,90,0.20
3,1500,10,0.20
3,1500,20,0.35
3,1500,30,0.45
3,1500,40,0.40
3,1500,50,0.75
3,1500,60,1.00
3,1500,70,0.80
3,1500,80,0.45
3,1500,90,0.30
4,1800,10,0.25
4,1800,20,0.45
4,1800,30,0.55
4,1800,40,0.50
4,1800,50,0.95
4,1800,60,1.20
4,1800,70,0.95
4,1800,80,0.55
4,1800,90,0.35
5,2100,10,0.30
5,2100,20,0.55
5,2100,30,0.65
5,2100,40,0.60
5,2100,50,1.15
5,2100,60,1.40
5,2100,70,1.10
5,2100,80,0.65
5,2100,90,0.40
6,2400,10,0.35
6,2400,20,0.65
6,2400,30,0.75
6,2400,40,0.70
6,2400,50,1.35
6,2400,60,1.60
6,2400,70,1.25
6,2400,80,0.75
6,2400,90,0.45
7,2700,10,0.40
7,2700,20,0.75
7,2700,30,0.85
7,2700,40,0.80
7,2700,50,1.55
7,2700,60,1.80
7,2700,70,1.40
7,2700,80,0.85
7,2700,90,0.50
8,3000,10,0.45
8,3000,20,0.85
8,3000,30,0.95
8,3000,40,0.90
8,3000,50,1.75
8,3000,60,2.00
8,3000,70,1.55
8,3000,80,0.95
8,3000,90,0.55
