日期,效率值
2025-01-01,95.2
2025-01-05,94.8
2025-01-10,94.5
2025-01-15,93.9
2025-01-20,93.7
2025-01-25,93.2
2025-01-30,92.8
2025-02-01,92.5
2025-02-05,92.1
2025-02-10,91.8
2025-02-15,91.2
2025-02-20,90.8
2025-02-25,90.3
2025-03-01,89.7
2025-03-05,89.2
2025-03-10,88.5
2025-03-15,87.9
2025-03-20,87.2
# 以下是预测数据
2025-03-25,86.5
2025-03-30,85.8
2025-04-01,85.2
2025-04-05,84.5
2025-04-10,83.8
2025-04-15,83.1
2025-04-20,82.3
2025-04-25,81.6
2025-04-30,80.9
2025-05-01,80.2
2025-05-05,79.5
2025-05-10,78.7
2025-05-15,78.0
2025-05-20,77.3
